,search_term,_ - eng_search_key,Class,_ - url,_ - Название,Comment on relevancs,_ - Номер ГИМ,_ - Отдел/коллекция,_ - Инвентарный номер,_ - Датировка,_ - Размер,"_ - Материал, техника",_ - Номер ГК,_ - Ключевые слова,_ - Место создания,Contemporary_Toponyms,fcodeName,toponymName,coordinates,lat,long,Country,geonames 3,"_ - Автор, мастер/Изготовитель",_ - Шифр ОПИ,_ - Комплект,_ - Место находки,_ - Формат,"_ - Лист, страницы",_ - Археологический памятник,_ - Персоналии,_ - Многотомное издание: автор,_ - Многотомное издание: Название,_ - Экспозиция,_ - Выставки,_ - Альбомы,_ - Аннотация
53,иудей,hebrew (noun),Jewish,https://catalog.shm.ru/entity/OBJECT/2029801?query=%D0%B8%D1%83%D0%B4%D0%B5%D0%B9&index=17,"Иисус спасенный чудом от раздраженных иудеев. Картон Фр.Овербека. Нарисован, говорят, в угождение папы Пия IX в 1848 году.",,ГИМ 95171/14705,Изобразительные материалы/Фотография,И VI 30167/11,1870-е гг.,"23,4х23,8 см; 30,2х46,5 см","Картон, альбуминовый отпечаток",34349995.0,картон Рим Италия,"Италия, г.Рим","Италия, г.Рим",populated place,Hacienda La Italia,"-2.91979,-79.74228",-2.91979,-79.74228,Ecuador,"city, village,...","Reiger G., фотограф, владелец ателье",,,,,,,,,,,,,
54,еврейский,jewish,Jewish,https://catalog.shm.ru/entity/OBJECT/2179694?page=2&query=%D0%B5%D0%B2%D1%80%D0%B5%D0%B9%D1%81%D0%BA%D0%B8%D0%B9&index=88,Бой нашего отряда с германцами на еврейском кладбище. Лубок.,,ГИМ 77002/2185,Изобразительные материалы/Печатная графика,И III хром 3301,1915 г.,45х61 см,"Бумага, хромолитография",34571829.0,хромолитография,Россия,Россия,independent political entity,Russian Federation,"60,100",60.0,100.0,Russia,"country, state, region,...",Изд. И.М. Машистова,,,,,,,,,,,,,
55,еврейский,jewish,Jewish,https://catalog.shm.ru/entity/OBJECT/2181489?page=2&query=%D0%B5%D0%B2%D1%80%D0%B5%D0%B9%D1%81%D0%BA%D0%B8%D0%B9&index=89,Бой нашего отряда с германцами на еврейском кладбище. Лубок.,,ГИМ 80754/381,Изобразительные материалы/Печатная графика,И III хром 10929,1915 г.,45х61 см,"Бумага, хромолитография",34573502.0,хромолитография,Россия,Россия,independent political entity,Russian Federation,"60,100",60.0,100.0,Russia,"country, state, region,...",Изд. И.М. Машистова,,,,,,,,,,,,,
56,иврит,hebrew (language),Jewish,https://catalog.shm.ru/entity/OBJECT/2199516?query=%D0%B8%D0%B2%D1%80%D0%B8%D1%82&index=0,Геометрические фигуры с надписью на иврите и текст на русском языке,,ГИМ 81989/181,Изобразительные материалы/Печатная графика,И III 71611,Сер. XIX в.,"33,5х51 см; 33,5х25,5 см","Бумага, гравюра",34253518.0,гравюра,Россия,Россия,independent political entity,Russian Federation,"60,100",60.0,100.0,Russia,"country, state, region,...",,,,,,,,,,,,,,
57,еврей,jew,Jewish,https://catalog.shm.ru/entity/OBJECT/2219001?page=3&query=%D0%B5%D0%B2%D1%80%D0%B5%D0%B9&index=116,"""Г-н Еврей, хотите завернуть этот наряд капуцина. Возьмите и самого священника и сделайте из него язык для колокола, т.е. ни на что другое он не годится""",,ГИМ 16116/5780щ,Изобразительные материалы/Печатная графика,И III 45179,Кон. XVIII в.,16х24 см,"Бумага, раскрашенная гравюра",31597793.0,Европа гравюра Франция,"Западная Европа, Франция",Франция,independent political entity,Republic of France,"46,2",46.0,2.0,France,"country, state, region,...",,,,,,,,,,,,,,
58,еврей,jew,Jewish,https://catalog.shm.ru/entity/OBJECT/2219045?page=3&query=%D0%B5%D0%B2%D1%80%D0%B5%D0%B9&index=117,"""Г-н Еврей, хотите завернуть этот наряд капуцина. Возьмите и самого священника и сделайте из него язык для колокола, т.е. ни на что другое он не годится""",,ГИМ 16116/5736щ,Изобразительные материалы/Печатная графика,И III 45135,Кон. XVIII в.,"17,5х24,5 см","Бумага, раскрашенная гравюра",31597786.0,Европа гравюра Франция,"Западная Европа, Франция",Франция,independent political entity,Republic of France,"46,2",46.0,2.0,France,"country, state, region,...",,,,,,,,,,,,,,
59,еврейский,jewish,Jewish,https://catalog.shm.ru/entity/OBJECT/2227743?page=2&query=%D0%B5%D0%B2%D1%80%D0%B5%D0%B9%D1%81%D0%BA%D0%B8%D0%B9&index=76,Еврейская фура в дороге. Е. Краснушкина.,,ГИМ 71880/466,Изобразительные материалы/Печатная графика,И III 44731,1883 г.,"11х29,5 см","Бумага, офорт",34712609.0,офорт Санкт-Петербург,"Россия, Санкт-Петербург","Россия, Санкт-Петербург",seat of a first-order administrative division,Saint Petersburg,"59.93863,30.31413",59.93863,30.31413,Russia,"city, village,...",Е. Краснушкина,,,,,,,,,,,,,
60,еврей,jew,Jewish,https://catalog.shm.ru/entity/OBJECT/2312158?page=3&query=%D0%B5%D0%B2%D1%80%D0%B5%D0%B9&index=118,"Трупы евреев, убитых во время погрома. Фотокопия.",,ГИМ 95171/31270,Изобразительные материалы/Фотография,ИФ XX 2230,1905 г.,"20х29,5 см",Серебряно-желатиновый отпечаток,28541429.0,убийство Одесса,"Российская империя, г. Одесса",Одесса,seat of a first-order administrative division,Odessa,"46.48572,30.74383",46.48572,30.74383,Ukraine,"city, village,...",,,,,,,,,,,,,,
61,еврейский,jewish,Jewish,https://catalog.shm.ru/entity/OBJECT/2354282?page=3&query=%D0%B5%D0%B2%D1%80%D0%B5%D0%B9%D1%81%D0%BA%D0%B8%D0%B9&index=123,"Верхоглаз Ефим Исаакович, секретарь Ровенского обкома ВКП(б), и его брат Лев, председатель еврейского колхоза ""Фрайгейм"" под Одессой.",,ГИМ 109299/6,Изобразительные материалы/Фотография,23_792,1936 г.,"8,4х11,2 см",Серебряно-желатиновый отпечаток,12952738.0,Одесса,"СССР, Украинская ССР, г. Одесса","Одесса, Украина",seat of a first-order administrative division,Odessa,"46.48572,30.74383",46.48572,30.74383,Ukraine,"city, village,...",Неизвестный фотограф.,,,,,,,,,,,,,
62,Израиль,Israel,Jewish,https://catalog.shm.ru/entity/OBJECT/2365482?page=2&query=%D0%98%D0%B7%D1%80%D0%B0%D0%B8%D0%BB%D1%8C&index=66,Делегация Комитета советских женщин на праздновании 8 марта в Израиле.,,ГИМ 111030/309,Изобразительные материалы/Фотография,22_573,1988 г.,"12,6х17,8 см",Фотография,11822832.0,женская делегация,"Ближний Восток, Израиль",Израиль,independent political entity,State of Israel,"31.5,34.75",31.5,34.75,Israel,"country, state, region,...",Неизвестный фотограф,,,,,,,,,,,,,
63,еврейка,jewess,Jewish,https://catalog.shm.ru/entity/OBJECT/2494144?query=%D0%B5%D0%B2%D1%80%D0%B5%D0%B9%D0%BA%D0%B0&index=6,«Еврейка». Лист из серии «Galerie de costumes»,,ГИМ 19155/615щ,Изобразительные материалы/Мода,И-III-м 5617,XIX век,"33,6х24 см","Бумага, литография, акварель",34135669.0,акварель Франция,Франция,Франция,independent political entity,Republic of France,"46,2",46.0,2.0,France,"country, state, region,...",,,,,,,,,,,,,,
64,еврейский,jewish,Jewish,https://catalog.shm.ru/entity/OBJECT/2494522?page=3&query=%D0%B5%D0%B2%D1%80%D0%B5%D0%B9%D1%81%D0%BA%D0%B8%D0%B9&index=109,"«Еврейские дети». Лист из альбома «Сostumes algeriens, espagnols, italiens, portugais, turcs, etc.,etc.»",,ГИМ 42949/15632,Изобразительные материалы/Мода,И-III-м 6110/1,1850,33х23 см,"Бумага, офорт, пунктир, акварель",32623867.0,акварель офорт Париж Франция,"Франция, Париж","Франция, Париж",capital of a political entity,Paris,"48.85341,2.3488",48.85341,2.3488,France,"city, village,...","A. Sortier, грав.",,,,,,,,,,,,,
65,еврейский,jewish,Jewish,https://catalog.shm.ru/entity/OBJECT/2494738?query=%D0%B5%D0%B2%D1%80%D0%B5%D0%B9%D1%81%D0%BA%D0%B8%D0%B9&index=18,Богатый еврейский торговец из Броды в 1820 году и шляхтич. Лист из альбома,,ГИМ 68079/116,Изобразительные материалы/Мода,И-III-м 6233,XIX век,47х30 см,"Бумага, акварель, белила",34542506.0,акварель белила Франция,Франция,Франция,independent political entity,Republic of France,"46,2",46.0,2.0,France,"country, state, region,...",,,,,,,,,,,,,,
66,еврейский,jewish,Jewish,https://catalog.shm.ru/entity/OBJECT/2494739?page=3&query=%D0%B5%D0%B2%D1%80%D0%B5%D0%B9%D1%81%D0%BA%D0%B8%D0%B9&index=110,Богатая еврейская торговка в 1810 году и крестьянин из окрестностей Кракова. Лист из альбома,,ГИМ 68079/117,Изобразительные материалы/Мода,И-III-м 6234,XIX век,47х30 см,"Бумага, акварель, белила",34135789.0,акварель белила Франция,Франция,Франция,independent political entity,Republic of France,"46,2",46.0,2.0,France,"country, state, region,...",,,,,,,,,,,,,,
67,еврей,jew,Jewish,https://catalog.shm.ru/entity/OBJECT/2495831?page=5&query=%D0%B5%D0%B2%D1%80%D0%B5%D0%B9&index=224,Костюм еврея для спектакля «Моисей». Лист из серии «Recueil des costumes de tous les ouvrages dramatiques représentés avec succès sur les grand théâtres de Paris»,,ГИМ 19155/825щ,Изобразительные материалы/Мода,И-III-м 6520,1819 - 1825,"25х16,5 см","Бумага, литография, акварель",34202360.0,акварель Франция,Франция,Франция,independent political entity,Republic of France,"46,2",46.0,2.0,France,"country, state, region,...","Энгельман Г., литограф",,,,,,,,,,,,,
68,еврей,jew,Jewish,https://catalog.shm.ru/entity/OBJECT/2495832?page=5&query=%D0%B5%D0%B2%D1%80%D0%B5%D0%B9&index=225,Костюм еврея - пастуха для спектакля «Моисей». Лист из серии «Recueil des costumes de tous les ouvrages dramatiques représentés avec succès sur les grand théâtres de Paris»,,ГИМ 19155/826щ,Изобразительные материалы/Мода,И-III-м 6521,1819 - 1825,"25х16,5 см","Бумага, литография, акварель",34202312.0,акварель Франция,Франция,Франция,independent political entity,Republic of France,"46,2",46.0,2.0,France,"country, state, region,...","Энгельман Г., литограф",,,,,,,,,,,,,
69,еврей,jew,Jewish,https://catalog.shm.ru/entity/OBJECT/2872092?page=4&query=%D0%B5%D0%B2%D1%80%D0%B5%D0%B9&index=194,Бюст «Голова еврея» (Боки). Этюд для неосуществленной композиции «Спор о Талмуде»,,ГИМ 66602,Металл/Бронза,БР 572,Конец 1860-х - 1880-е гг.,"26,5х12,5 см","Бронза, литье, чеканка, патинирование",27393423.0,чеканка патинирование бронза литье бюст,Санкт - Петербург,Санкт-Петербург,seat of a first-order administrative division,Saint Petersburg,"59.93863,30.31413",59.93863,30.31413,Russia,"city, village,...",Антокольский Марк (Мордух) Матвеевич (Матысович) (21 октября (2 ноября) 1843-26 июня (9 июля) 1902),,,,,,,,,,,,,
70,еврейский,jewish,Jewish,https://catalog.shm.ru/entity/OBJECT/2880921?query=%D0%B5%D0%B2%D1%80%D0%B5%D0%B9%D1%81%D0%BA%D0%B8%D0%B9&index=0,Восьмисвечник еврейский,,ГИМ 77240/96,Металл/Медь,ММ 6282,Третья четверть XIX в.,29х22х5 см,"Латунь, штамп, серебрение",27533771.0,иудаизм штамп латунь серебрение Варшава,Варшава,Варшава,capital of a political entity,Warsaw,"52.22977,21.01178",52.22977,21.01178,Poland,"city, village,...",,,,,,,,,,,,,,
71,еврейский,jewish,Jewish,https://catalog.shm.ru/entity/OBJECT/2880922?query=%D0%B5%D0%B2%D1%80%D0%B5%D0%B9%D1%81%D0%BA%D0%B8%D0%B9&index=3,Восьмисвечник еврейский,,ГИМ 77240/97,Металл/Медь,ММ 6283,Третья четверть XIX в.,"38,5х25х6,5 см","Латунь, штамп, серебрение",27533847.0,иудаизм штамп латунь серебрение Варшава,Варшава,Варшава,capital of a political entity,Warsaw,"52.22977,21.01178",52.22977,21.01178,Poland,"city, village,...",,,,,,,,,,,,,,
72,израильский,Israeli,Jewish,https://catalog.shm.ru/entity/OBJECT/2936685?query=%D0%B8%D0%B7%D1%80%D0%B0%D0%B8%D0%BB%D1%8C%D1%81%D0%BA%D0%B8%D0%B9&index=0,Значок Израильской Коммунистической партии.,,ГИМ 112351/34,Собрание фондов музея В.И.Ленина/Личные вещи и подарки И.В. Сталина,ФМЛ СТ-165,Не ранее 1948 г.,"2,5х2,3 см","Металл, эмаль",6844355.0,металл,"Ближний Восток, Израиль",Израиль,independent political entity,State of Israel,"31.5,34.75",31.5,34.75,Israel,"country, state, region,...",,,,,,,,Сталин Иосиф Виссарионович,,,,,,
73,иудей,hebrew (noun),Jewish,https://catalog.shm.ru/entity/OBJECT/3017945?query=%D0%B8%D1%83%D0%B4%D0%B5%D0%B9&index=14,Изображения для стереоскопа. Фото. «Иудеи у стены плача»,,ГИМ 113929/403,Усадьба Измайлово/Древнерусская живопись,НД ИI-3640,конец XIX – XX вв.,"8,5х17,2 см",,16317130.0,,Россия,Россия,independent political entity,Russian Federation,"60,100",60.0,100.0,Russia,"country, state, region,...",,,,,,,,,,,,,,
74,иудейский,hebrew (adjective),Jewish,https://catalog.shm.ru/entity/OBJECT/3017971?query=%D0%B8%D1%83%D0%B4%D0%B5%D0%B9%D1%81%D0%BA%D0%B8%D0%B9&index=23,Изображения для стереоскопа. Фото. «Монастырь св. Георгия Хозевита в Иудейской пустыне»,,ГИМ 113929/429,Усадьба Измайлово/Древнерусская живопись,НД ИI-3666,конец XIX – XX вв.,"8,3х17,4 см","Картон, фотопечать",16317144.0,картон,Россия,Россия,independent political entity,Russian Federation,"60,100",60.0,100.0,Russia,"country, state, region,...",,,,,,,,,,,,,,
75,еврейский,jewish,Jewish,https://catalog.shm.ru/entity/OBJECT/3043038?page=2&query=%D0%B5%D0%B2%D1%80%D0%B5%D0%B9%D1%81%D0%BA%D0%B8%D0%B9&index=87,Бой нашего отряда с германцами на еврейском кладбище. Лубок.,,ГИМ 49428/3,Изобразительные материалы/Печатная графика,И III хром 200,1915 г.,44х60 см,"Бумага, хромолитография",6147315.0,хромолитография кладбище,Россия,Россия,independent political entity,Russian Federation,"60,100",60.0,100.0,Russia,"country, state, region,...",Изд. И.М. Машистова,,,,,,,,,,,,,
76,жид,jew (derogative),Jewish,https://catalog.shm.ru/entity/OBJECT/3116251?query=%D0%B6%D0%B8%D0%B4&index=28,"Легенда об Агасфере – «вечном жиде» : поэмы Шубарта, Ленау и Беранже /  Предисловие М. Горького",,ГИМ 114139/32,Книжный фонд/Книги 1918-1941 гг.,МФ/4-603,1919,"18,5х13,5х0,3 см","Бумага, типографская печать",8388424.0,типографская печать,Петербург,Петербург,seat of a first-order administrative division,Saint Petersburg,"59.93863,30.31413",59.93863,30.31413,Russia,"city, village,...",Шубарт Христиан Фридрих Даниель (1739-1791),,,,,,,,,,,,,
77,израильский,Israeli,Jewish,https://catalog.shm.ru/entity/OBJECT/3167974?query=%D0%B8%D0%B7%D1%80%D0%B0%D0%B8%D0%BB%D1%8C%D1%81%D0%BA%D0%B8%D0%B9&index=2,"The land of Israel that Jesus walked. Земля Израильская, по которой ходил Иисус. Историческая карта.",,ГИМ 114166/212,Картография/Картография,ГО-13478/1,1992,"В обложке: 83,2х39,5 см; 23,5х17,4 см; 88,5х55,5 см","Бумага мелованная, печать многокрасочная",4052139.0,,Израиль,Израиль,independent political entity,State of Israel,"31.5,34.75",31.5,34.75,Israel,"country, state, region,...",,,,,,,,,,,,,,
78,еврейский,jewish,Jewish,https://catalog.shm.ru/entity/OBJECT/3187933?page=2&query=%D0%B5%D0%B2%D1%80%D0%B5%D0%B9%D1%81%D0%BA%D0%B8%D0%B9&index=91,Бой нашего отряда с германцами на еврейском кладбище. Лубок.,,ГИМ 83773/602,Изобразительные материалы/Печатная графика,АИМ 463,1914-1915 гг.,60х44 см,"Бумага, хромолитография",34572899.0,хромолитография война,Россия,Россия,independent political entity,Russian Federation,"60,100",60.0,100.0,Russia,"country, state, region,...",Изд. И.М. Машистова,,,,,,,,,,,,,
79,еврей,jew,Jewish,https://catalog.shm.ru/entity/OBJECT/3275186?query=%D0%B5%D0%B2%D1%80%D0%B5%D0%B9&index=31,"«Антисемитская» медаль с гротесковым изображением Шейлока и надписью: ""Вот еврей, которого описал Шекспир""",,ГИМ 93330/26,Нумизматика/Памятные медали и награды,КР ОН 737635,После 1809 г.,"Диаметр - 43,7 мм","Недрагоценный металл, чеканка",,антисиметизм Лондон Европа металл антисиметизм,"Западная Европа, Великобритания",Великобритания,independent political entity,United Kingdom of Great Britain and Northern Ireland,"54.75844,-2.69531",54.75844,-2.69531,United Kingdom,"country, state, region,...",,,,,,,,,,,,,,
80,еврейский,jewish,Jewish,https://catalog.shm.ru/entity/OBJECT/3611547?page=2&query=%D0%B5%D0%B2%D1%80%D0%B5%D0%B9%D1%81%D0%BA%D0%B8%D0%B9&index=95,Медаль Эмануэля Льюиса для членов Jewish Lads' brigade (Еврейская юношеская бригада),,ГИМ 93330/94,Нумизматика/Памятные медали и награды,КР ОН 737703,Начало XX в.,"Диаметр - 38,3 мм","Недрагоценный металл, чеканка",,Европа металл,"Западная Европа, Великобритания",Великобритания,independent political entity,United Kingdom of Great Britain and Northern Ireland,"54.75844,-2.69531",54.75844,-2.69531,United Kingdom,"country, state, region,...",,,,,,,,,,,,,,
81,Израиль,Israel,Jewish,https://catalog.shm.ru/entity/OBJECT/5513622?query=%D0%98%D0%B7%D1%80%D0%B0%D0%B8%D0%BB%D1%8C&index=49,Хоккейная шайба с надписью «Израиль».,,ГИМ 114211/7,Собрание фондов музея В.И.Ленина/Различные художественные произведения,ФМЛ РП-4755,Конец XX - начало XXI вв.,"Диаметр: 7,6 см; высота: 2,5 см","Резина, бумага",15488748.0,резина Северная Америка Израиль,"Северная Америка, Канада","Северная Америка, Канада",third-order administrative division,Township of Canada,"35.23304,-82.99811",35.23304,-82.99811,United States,"country, state, region,...",,,"Коллекция, полученная из «Горбачев-фонда», (подарки  Президенту СССР  М. С. Горбачеву).",,,,,,,,,,,
82,Израиль,Israel,Jewish,https://catalog.shm.ru/entity/OBJECT/5513688?page=5&query=%D0%98%D0%B7%D1%80%D0%B0%D0%B8%D0%BB%D1%8C&index=227,"Скульптура «Две сидящие фигуры». Подарок М.С. Горбачеву от автора. Скульптурная композиция, изображающая мужчину и женщину, сидящих рядом. Стилизованная фигура мужчины.",,ГИМ 114211/73,Собрание фондов музея В.И.Ленина/Различные художественные произведения,ФМЛ РП-4821,1992 г.,"19,3х6,5 см","Бронза, замша, полировка",15488942.0,полировка бронза замша,"Ближний Восток, Израиль",Израиль,independent political entity,State of Israel,"31.5,34.75",31.5,34.75,Israel,"country, state, region,...",Ицик Беншалом. Изготовлена «Virginia. Metal-crafters»,,"Коллекция, полученная из «Горбачев-фонда», (подарки  Президенту СССР  М. С. Горбачеву).",,,,,,,,,,,
83,Израиль,Israel,Jewish,https://catalog.shm.ru/entity/OBJECT/5513689?page=5&query=%D0%98%D0%B7%D1%80%D0%B0%D0%B8%D0%BB%D1%8C&index=228,"Скульптура «Две сидящие фигуры». Подарок М.С. Горбачеву от автора. Скульптурная композиция, изображающая мужчину и женщину, сидящих рядом. Стилизованная фигура женщины.",,ГИМ 114211/74,Собрание фондов музея В.И.Ленина/Различные художественные произведения,ФМЛ РП-4822,1992 г.,"17,5х5,5 см","Бронза, замша, полировка",15488954.0,полировка бронза замша,"Ближний Восток, Израиль",Израиль,independent political entity,State of Israel,"31.5,34.75",31.5,34.75,Israel,"country, state, region,...",Ицик Беншалом. Изготовлена «Virginia. Metal-crafters»,,"Коллекция, полученная из «Горбачев-фонда», (подарки  Президенту СССР  М. С. Горбачеву).",,,,,,,,,,,
84,Израиль,Israel,Jewish,https://catalog.shm.ru/entity/OBJECT/5513690?page=5&query=%D0%98%D0%B7%D1%80%D0%B0%D0%B8%D0%BB%D1%8C&index=229,Скульптура «Две сидящие фигуры». Подарок М.С. Горбачеву от автора. Подставка скульптурной композиции.,,ГИМ 114211/75,Собрание фондов музея В.И.Ленина/Различные художественные произведения,ФМЛ РП-4823,1992 г.,"9,5х23х9 см (подставка); 22х23х9 см (общий)","Дерево, краска, точение",15489018.0,дерево точение,"Ближний Восток, Израиль",Израиль,independent political entity,State of Israel,"31.5,34.75",31.5,34.75,Israel,"country, state, region,...",Ицик Беншалом. Изготовлена «Virginia. Metal-crafters»,,"Коллекция, полученная из «Горбачев-фонда», (подарки  Президенту СССР  М. С. Горбачеву).",,,,,,,,,,,
85,Израиль,Israel,Jewish,https://catalog.shm.ru/entity/OBJECT/5513691?page=5&query=%D0%98%D0%B7%D1%80%D0%B0%D0%B8%D0%BB%D1%8C&index=230,Скульптура «Две сидящие фигуры». Подарок М.С. Горбачеву от автора. Футляр скульптурной композиции.,,ГИМ 114211/76,Собрание фондов музея В.И.Ленина/Различные художественные произведения,ФМЛ РП-4824,1992 г.,"11х27х28,5 см","Искусственный велюр, шелк, латунь, шнур",15488952.0,велюр шелк латунь,"Ближний Восток, Израиль",Израиль,independent political entity,State of Israel,"31.5,34.75",31.5,34.75,Israel,"country, state, region,...",Изготовлена «Virginia. Metal-crafters»,,"Коллекция, полученная из «Горбачев-фонда», (подарки  Президенту СССР  М. С. Горбачеву).",,,,,,,,,,,
86,иудейский,hebrew (adjective),Jewish,https://catalog.shm.ru/entity/OBJECT/5522039?query=%D0%B8%D1%83%D0%B4%D0%B5%D0%B9%D1%81%D0%BA%D0%B8%D0%B9&index=1,"Сцена из спектакля ""Царь Иудейский"".",,ГИМ 114373/9,Изобразительные материалы/Печатная графика,И X-п 5732,Начало ХХ века.,"8,6х13,8 см","Бумага, фототипия",29928611.0,фототипия Фишер Москва,"Москва, Российская империя",Москва,capital of a political entity,Moscow,"55.75222,37.61556",55.75222,37.61556,Russia,"city, village,...","Фотография К.А. Фишер, Наша старина, журнал",,,,,,,,,,,,,
87,Израиль,Israel,Jewish,https://catalog.shm.ru/entity/OBJECT/5523300?page=2&query=%D0%98%D0%B7%D1%80%D0%B0%D0%B8%D0%BB%D1%8C&index=79,"Фото: Рут Любич с Долорес Ибаррури на вечере встречи, с дарственной надписью Рут Любич Ксении Проскурниковой",,ГИМ 114367/3,Письменные источники/Письменные источники,Арх. 6927,Октябрь 1986 г.,"11,1х8,9 см","Фотобумага, фотография цветная, рукопись",22738832.0,,"Ближний Восток, Израиль",Израиль,independent political entity,State of Israel,"31.5,34.75",31.5,34.75,Israel,"country, state, region,...",,Ф.557,,,,,,,,,,,,
88,еврей,jew,Jewish,https://catalog.shm.ru/entity/OBJECT/5526345?page=4&query=%D0%B5%D0%B2%D1%80%D0%B5%D0%B9&index=188,"Выставка ""Евреи в Москве: история, культура, традиции. Конец XV- начало ХХ вв."". Афиша",,ГИМ 114374/16,Изобразительные материалы/Печатная графика,И X 4220,2010 г.,"42х29,5 см","Бумага, цветная печать",,музеи России Москва,"Россия, Москва","Россия, Москва",capital of a political entity,Moscow,"55.75222,37.61556",55.75222,37.61556,Russia,"city, village,...",Неизвестный художник,,,,,,,,,,,,,
89,иудей,hebrew (noun),Jewish,https://catalog.shm.ru/entity/OBJECT/5592807?query=%D0%B8%D1%83%D0%B4%D0%B5%D0%B9&index=0,"Игра ""Азбука из фигур"". Фигура «Иудей».",,ГИМ 70488/926,Дерево и мебель/Игры,ПМд-363/9,1848 год,"9,5х3,5 см","Картон, типографская печать, раскраска",35715929.0,азбука,Российская империя. г. Москва,Москва,capital of a political entity,Moscow,"55.75222,37.61556",55.75222,37.61556,Russia,"city, village,...",,,,,,,,,,,,,,
90,еврейский,jewish,Jewish,https://catalog.shm.ru/entity/OBJECT/5598328?query=%D0%B5%D0%B2%D1%80%D0%B5%D0%B9%D1%81%D0%BA%D0%B8%D0%B9&index=35,Еврейская колония.,,ГИМ 80724/75,Изобразительные материалы/Фотография,И IX 10467,1933 г.,"8,8х14 см","Картон, серебряно-желатиновый отпечаток",24484222.0,колония картон,Бессарабия.,Бессарабия.,populated place,Crasnaia Besarabia,"47.28442,29.58763",47.28442,29.58763,Moldova,"city, village,...",Неизвестный фотограф.,,,,,,,,,,,,,
91,еврейский,jewish,Jewish,https://catalog.shm.ru/entity/OBJECT/5640517?query=%D0%B5%D0%B2%D1%80%D0%B5%D0%B9%D1%81%D0%BA%D0%B8%D0%B9&index=40,Еврейская свадьба.,,ГИМ 55709/4807,Изобразительные материалы/Печатная графика,ДК 4811,1803 г.,"25,4х39,9 см","Бумага, офорт",17128966.0,свадьба офорт бракосочетание Санкт-Петербург,"Российская империя, г. Санкт-Петербург",Санкт-Петербург,seat of a first-order administrative division,Saint Petersburg,"59.93863,30.31413",59.93863,30.31413,Russia,"city, village,...",Колпашников Алексей Яковлевич (1744-1814),,,,,,,,,,,,,
92,жидовский,jewish (derogative),Jewish,https://catalog.shm.ru/entity/OBJECT/5682114?query=%D0%B6%D0%B8%D0%B4%D0%BE%D0%B2%D1%81%D0%BA%D0%B8%D0%B9&index=0,Жидовская карчма или Малороссийский шинок.,,ГИМ 55709/5000,Изобразительные материалы/Печатная графика,ДК 5004,1857 г.,"30х36,8 см","Бумага, металлография",17141476.0,питейное заведение металлография Москва,"Российская империя, г. Москва",Москва,capital of a political entity,Moscow,"55.75222,37.61556",55.75222,37.61556,Russia,"city, village,...",Неизвестный художник. Металлография Е.Яковлева,,,,,,,,,,,,,
93,жидовский,jewish (derogative),Jewish,https://catalog.shm.ru/entity/OBJECT/5682115?query=%D0%B6%D0%B8%D0%B4%D0%BE%D0%B2%D1%81%D0%BA%D0%B8%D0%B9&index=1,Жидовская карчма или Малороссийский шинок.,,ГИМ 55709/5001,Изобразительные материалы/Печатная графика,ДК 5005,1857 г.,"32,5х41,7 см","Бумага, металлография, акварель",17141514.0,питейное заведение акварель металлография Москва,"Российская империя, г. Москва",Москва,capital of a political entity,Moscow,"55.75222,37.61556",55.75222,37.61556,Russia,"city, village,...",Неизвестный художник. Металлография Е.Яковлева,,,,,,,,,,,,,
94,еврей,jew,Jewish,https://catalog.shm.ru/entity/OBJECT/5804937?page=4&query=%D0%B5%D0%B2%D1%80%D0%B5%D0%B9&index=171,"Лист из издания В. Тимма ""Русский художественный листок"" №21.",,ГИМ 55709/1205,Изобразительные материалы/Печатная графика,ДК 1207,1851-1862 г.,"36,4х54 см","Бумага, литография",17142599.0,л.-гв. Кавалергардский полк Санкт-Петербург,"Российская империя, Санкт-Петербург",Санкт-Петербург,seat of a first-order administrative division,Saint Petersburg,"59.93863,30.31413",59.93863,30.31413,Russia,"city, village,...","Тимм В., художник, литограф. Лит. А. Минстера",,,,,,,,,,,,,
95,Израиль,Israel,Jewish,https://catalog.shm.ru/entity/OBJECT/5816113?page=6&query=%D0%98%D0%B7%D1%80%D0%B0%D0%B8%D0%BB%D1%8C&index=273,"Открытка-письмо к матери и родным Розановым М.А., О.Н. и Мариночке в Москву от Розанова А.Н., научного сотрудника ЦЕРН, из г. Иерусалима.",,ГИМ 114846/732,Письменные источники/Письменные источники,Арх. 6988,28 мая – 8 июня 1994 г.,"Лист 1 - открытка: 9,7х14,7 см; лист 2 - маарка: 2,6х3 см","Картон, синяя шариковая ручка, печать типографская",23354438.0,картон,"Ближний Восток, Израиль, г. Иерусалим","Израиль, Иерусалим",seat of a first-order administrative division,Jerusalem,"31.76904,35.21633",31.76904,35.21633,Israel,"city, village,...",,Ф.344,,,,,,,,,,,,
96,Израиль,Israel,Jewish,https://catalog.shm.ru/entity/OBJECT/5816649?query=%D0%98%D0%B7%D1%80%D0%B0%D0%B8%D0%BB%D1%8C&index=23,Письмо – черновик Розановой М.А. из Москвы к подруге Любецкой Эве Марковне в Тель-Авив (Израиль).,,ГИМ 114846/1268,Письменные источники/Письменные источники,Арх. 6988,25 октября 1989 г.,"23,5х20,9 см","Бумага, синяя шариковая ручка, рукопись",25565651.0,Израиль Москва,г. Москва,Москва,capital of a political entity,Moscow,"55.75222,37.61556",55.75222,37.61556,Russia,"city, village,...",,Ф.344,,,,,,,,,,,,
