,Reg number,Museum number,url,subject,query,Object type,Title,Type 1,Type 2,Denomination,Escapement,Description,Producer name,School/style,State,Authority,Ethnic name (made by),Ethnic name (assoc),Culture,Production date,Find|ProductionLocation,Toponym,"lat,lng",Production place - comment,Find spot 2,Find spot - comments,Materials,Ware,Type series,Technique,Dimensions,Inscription,Curators Comments,Bib references,Location,Exhibition history,Condition,Subjects,Assoc name,Assoc place,Assoc events,Assoc titles,Acq name (acq),Acq name (finding),Acq name (excavator),Acq name (previous),Acq date,Acq notes (acq),Acq notes (exc),Dept,BM/Big number,Add ids,Cat no,Banknote serial number,Joined objects,Image
246,"19,681,231.37","19,681,231.37",https://www.britishmuseum.org/collection/object/C_1968-1231-37,armenian,armenia,coin,,money,,,,Silver coin.,,,Byzantine Empire,Constantine IV,,,,654-685,Minted in|Associated with,Republic of Armenia|Exacharte of Africa (Division of the Byzantine Empire),"40.25,45|36.85713,10.32992",,,,silver,,,,Weight: 1.930 grammes,,,,Not on display,,,,,,,,,,,,1968,,,Coins and Medals,,,,,,
247,"19,061,103.5392_1","19,061,103.5392_1",https://www.britishmuseum.org/collection/object/C_1906-1103-5392_1,armenian,armenia,coin,,money,,,,Silver coin.,,,Byzantine Empire,Heraclius Constantine,,,,613-641,Minted in|Associated with,Republic of Armenia|Exacharte of Africa (Division of the Byzantine Empire),"40.25,45|36.85713,10.32992",,,,silver,,,,Weight: 2.190 grammes,,,,Not on display,,,,,,,,,,,,1906,,,Coins and Medals,,,,,,
248,R.6184,R.6184,https://www.britishmuseum.org/collection/object/C_R-6184,armenian,armenia|armenian,coin,,money,,denarius,,"Silver coin.; Head of Augustus, bare, right.; Armenian tiara on left; quiver and bow-case on right.",,,Roman Empire,Augustus (Octavian),,,Roman Imperial,19BC-18BC,Minted in|Associated with,Bergama|Imperium Romanum,"39.12074,27.18052|41.8925,12.48499",,,,silver,,,,Die-axis: 9 o'clock; Weight: 3.62 grammes,"Inscription type: inscription Inscription position: obverse Inscription language: Latin Inscription quoted: AVGVS[TVS]; Inscription type: inscription Inscription position: reverse Inscription language: Latin Inscription quoted: ARMENIA
CAPTA",,"RE1 / Coins of the Roman Empire in the British Museum, vol. 1: Augustus to Vitellius; RIC1 / The Roman Imperial Coinage, vol. 1; RR2 / Coins of the Roman Republic in the British Museum, vol. 2. Coinages of Rome (continued), Roman Campania, Italy, the social war, and the provinces.",Not on display,,,emperor/empress| arms/armour,Named in inscription & portrayed: Augustus (Octavian),Named in inscription: Armenia (archaic),,,,,,,1799,,,Coins and Medals,,,RE1 (109) (672); RR2 (549) (304),,,https://media.britishmuseum.org/media/Repository/Documents/2014_10/11_11/d2b68e8a_c9f2_4dfc_8dc4_a3c100b55b26/preview_00633025_001.jpg
249,R.14058,R.14058,https://www.britishmuseum.org/collection/object/C_R-14058,armenian,armenia,coin,,money,,denarius,,"Silver coin.; Head of Marcus Aurelius, laureate, right.; Armenia seated left, surrounded by arms, resting head on right hand; before her, vexillum.",,,Roman Empire,Marcus Aurelius; Lucius Verus,,,Roman Imperial,164-165,Minted in|Associated with,Rome|Imperium Romanum,"41.89193,12.51133|41.8925,12.48499",city,,,silver,,,,Die-axis: 6 o'clock; Weight: 3.30 grammes,Inscription type: inscription Inscription position: obverse Inscription language: Latin Inscription quoted: ANTONINVS AVG ARMENIACVS; Inscription type: inscription Inscription position: reverse Inscription language: Latin Inscription quoted: P M TR P XIX IMP II COS III; Inscription type: inscription Inscription position: reverse exergue Inscription language: Latin Inscription quoted: ARMEN,,"RE4 / Coins of the Roman Empire in the British Museum, vol.IV: Antoninus Pius to Commodus. Introduction, indexes and plates.; RIC3 / The Roman imperial coinage, vol. 3: Antoninus Pius to Commodus (type)",Not on display,,,emperor/empress| allegory/personification,Named in inscription & portrayed: Marcus Aurelius;  Named in inscription & portrayed: Armenia,,,,Bequeathed by: Clayton Mordaunt Cracherode,,,,1799,,,Coins and Medals,,,RE4 (434) (366),,,
250,R.14059,R.14059,https://www.britishmuseum.org/collection/object/C_R-14059,armenian,armenia,coin,,money,,denarius,,"Silver coin.; Head of Marcus Aurelius, laureate, right.; Armenia seated left, surrounded by arms, resting head on right hand; before her, vexillum.",,,Roman Empire,Marcus Aurelius; Lucius Verus,,,Roman Imperial,164-165,Minted in|Associated with,Rome|Imperium Romanum,"41.89193,12.51133|41.8925,12.48499",city,,,silver,,,,Die-axis: 6 o'clock; Weight: 3.29 grammes,Inscription type: inscription Inscription position: obverse Inscription language: Latin Inscription quoted: ANTONINVS AVG ARMENIACVS; Inscription type: inscription Inscription position: reverse Inscription language: Latin Inscription quoted: P M TR P XIX IMP II COS III; Inscription type: inscription Inscription position: reverse exergue Inscription language: Latin Inscription quoted: ARMEN,,"RE4 / Coins of the Roman Empire in the British Museum, vol.IV: Antoninus Pius to Commodus. Introduction, indexes and plates.; RIC3 / The Roman imperial coinage, vol. 3: Antoninus Pius to Commodus (type)",Not on display,,,emperor/empress| allegory/personification,Named in inscription & portrayed: Marcus Aurelius;  Named in inscription & portrayed: Armenia,,,,,,,,,"Ex-duplicates 1922, not previously registered.",,Coins and Medals,,,RE4 (434) (367),,,https://media.britishmuseum.org/media/Repository/Documents/2014_10/11_15/361a530b_b6f6_456d_ba82_a3c100fa5176/preview_00665599_001.jpg
251,"18,631,111.35","18,631,111.35",https://www.britishmuseum.org/collection/object/C_1863-1111-35,armenian,armenia|armenian,coin,,money,,denarius,,"Silver coin.; Head of Augustus, bare, right.; Armenian tiara on left; quiver and bow-case on right.",,,Roman Empire,Augustus (Octavian),,,Roman Imperial,19BC-18BC,Minted in|Associated with,Bergama|Imperium Romanum,"39.12074,27.18052|41.8925,12.48499",,,,silver,,,,Die-axis: 12 o'clock; Weight: 3.76 grammes,"Inscription type: inscription Inscription position: obverse Inscription language: Latin Inscription quoted: AVGVSTVS; Inscription type: inscription Inscription position: reverse Inscription language: Latin Inscription quoted: ARMENIA
RECEPTA",,"RE1 / Coins of the Roman Empire in the British Museum, vol. 1: Augustus to Vitellius; RIC1 / The Roman Imperial Coinage, vol. 1; RR2 / Coins of the Roman Republic in the British Museum, vol. 2. Coinages of Rome (continued), Roman Campania, Italy, the social war, and the provinces.",Not on display,,,emperor/empress| arms/armour,Named in inscription & portrayed: Augustus (Octavian),Named in inscription: Armenia (archaic),,,Purchased from: Maximilian John Borrell,,,,1863,,,Coins and Medals,,,RE1 (109) (675); RR2 (548) (301),,,https://media.britishmuseum.org/media/Repository/Documents/2014_10/11_11/fb800fc5_b3f0_4a2b_8796_a3c100b55f4c/preview_00633028_001.jpg
252,"18,670,101.13","18,670,101.13",https://www.britishmuseum.org/collection/object/C_1867-0101-1275,armenian,armenia|armenian,coin,,money,,denarius,,"Silver coin.; Head of Augustus, bare, right.; Armenian tiara on left; quiver and bow-case on right.",,,Roman Empire,Augustus (Octavian),,,Roman Imperial,19BC-18BC,Minted in|Associated with,Bergama|Imperium Romanum,"39.12074,27.18052|41.8925,12.48499",,,,silver,,,,Die-axis: 2 o'clock; Weight: 3.66 grammes,"Inscription type: inscription Inscription position: reverse Inscription language: Latin Inscription quoted: ARMENIA
CAPTA",,"RE1 / Coins of the Roman Empire in the British Museum, vol. 1: Augustus to Vitellius; RIC1 / The Roman Imperial Coinage, vol. 1; RR2 / Coins of the Roman Republic in the British Museum, vol. 2. Coinages of Rome (continued), Roman Campania, Italy, the social war, and the provinces.",Not on display,,,emperor/empress| arms/armour,Portrait of: Augustus (Octavian),Named in inscription: Armenia (archaic),,,"Purchased from: Louis, Duc de Blacas d'Aulps",,,"Previous owner/ex-collection: Louis, Duc de Blacas d'Aulps",1867,,,Coins and Medals,,,RE1 (109) (673); RR2 (549) (302),,,https://media.britishmuseum.org/media/Repository/Documents/2014_10/11_11/fd2209b9_a57a_4837_a3b1_a3c100b55c9c/preview_00633026_001.jpg
253,"19,380,207.19","19,380,207.19",https://www.britishmuseum.org/collection/object/C_1938-0207-19,armenian,armenia,coin,,money,,denarius,,"Silver coin.; Head of Marcus Aurelius, bare, right.; Armenia seated left, surrounded by arms, resting head on right hand; before her, vexillum.",,,Roman Empire,Marcus Aurelius; Lucius Verus,,,Roman Imperial,164-165,Minted in|Associated with,Rome|Imperium Romanum,"41.89193,12.51133|41.8925,12.48499",city,,,silver,,,,Die-axis: 12 o'clock; Weight: 3.22 grammes,Inscription type: inscription Inscription position: obverse Inscription language: Latin Inscription quoted: ANTONINVS AVG ARMENIACVS; Inscription type: inscription Inscription position: reverse Inscription language: Latin Inscription quoted: P M TR P XIX IMP II COS III; Inscription type: inscription Inscription position: reverse exergue Inscription language: Latin Inscription quoted: ARMEN,,"RE4 / Coins of the Roman Empire in the British Museum, vol.IV: Antoninus Pius to Commodus. Introduction, indexes and plates.; RIC3 / The Roman imperial coinage, vol. 3: Antoninus Pius to Commodus (type)",Not on display,,,emperor/empress| allegory/personification,Named in inscription & portrayed: Marcus Aurelius;  Named in inscription & portrayed: Armenia,,,,Donated by: Paul Tinchant,,,,1938,,,Coins and Medals,,,RE4 (434) (365),,,https://media.britishmuseum.org/media/Repository/Documents/2014_10/11_15/e1a9a086_9fef_4d92_a9c5_a3c100fa4cf2/preview_00665596_001.jpg
254,"19,360,214.80","19,360,214.80",https://www.britishmuseum.org/collection/object/C_1936-0214-8,armenian,armenia,coin,,money,,denarius,,"Silver coin.; Head of Lucius Verus, bare, right.; Armenia seated left, surrounded by arms, resting head on right hand; before her, vexillum.",,,Roman Empire,Marcus Aurelius; Lucius Verus,,,Roman Imperial,163-164,Minted in|Associated with,Rome|Imperium Romanum,"41.89193,12.51133|41.8925,12.48499",city,,,silver,,,,Die-axis: 6 o'clock; Weight: 3.27 grammes,Inscription type: inscription Inscription position: obverse Inscription language: Latin Inscription quoted: L VERVS AVG ARMENIACVS; Inscription type: inscription Inscription position: reverse Inscription language: Latin Inscription quoted: TR P IIII IMP II COS II; Inscription type: inscription Inscription position: reverse exergue Inscription language: Latin Inscription quoted: ARMEN,,"RE4 / Coins of the Roman Empire in the British Museum, vol.IV: Antoninus Pius to Commodus. Introduction, indexes and plates.; RIC3 / The Roman imperial coinage, vol. 3: Antoninus Pius to Commodus (type)",Not on display,,,emperor/empress| allegory/personification,Named in inscription & portrayed: Lucius Verus;  Named in inscription & portrayed: Armenia,,,,Donated by: Paul Tinchant,,,,1936,,,Coins and Medals,,,RE4 (425) (299),,,https://media.britishmuseum.org/media/Repository/Documents/2014_10/11_15/e592b8f1_23da_4e8c_980d_a3c100fa41ff/preview_00665537_001.jpg
255,R.14038,R.14038,https://www.britishmuseum.org/collection/object/C_R-14038,armenian,armenia,coin,,money,,denarius,,"Silver coin.; Head of Marcus Aurelius, bare, right.; Armenia seated left, resting head on right hand and left hand on bow and quiver; before her, vexillum and shield.",,,Roman Empire,Marcus Aurelius; Lucius Verus,,,Roman Imperial,163-164,Minted in|Associated with,Rome|Imperium Romanum,"41.89193,12.51133|41.8925,12.48499",city,,,silver,,,,Die-axis: 6 o'clock; Weight: 3.27 grammes,Inscription type: inscription Inscription position: obverse Inscription language: Latin Inscription quoted: ANTONINVS AVG ARMENIACVS; Inscription type: inscription Inscription position: reverse Inscription language: Latin Inscription quoted: P M TR P XVIII IMP II COS III; Inscription type: inscription Inscription position: reverse exergue Inscription language: Latin Inscription quoted: ARMEN,,"RE4 / Coins of the Roman Empire in the British Museum, vol.IV: Antoninus Pius to Commodus. Introduction, indexes and plates.; RIC3 / The Roman imperial coinage, vol. 3: Antoninus Pius to Commodus (type)",Not on display,,,emperor/empress| allegory/personification,Named in inscription & portrayed: Marcus Aurelius;  Named in inscription & portrayed: Armenia,,,,,,,,,,,Coins and Medals,,,RE4 (421) (273),,,https://media.britishmuseum.org/media/Repository/Documents/2014_10/11_15/e0fa0de3_4ced_4ee4_9cbb_a3c100fa252f/preview_00665515_001.jpg
256,"18,381,231.34","18,381,231.34",https://www.britishmuseum.org/collection/object/C_1838-1231-34,armenian,armenia,coin,,money,,,,Silver coin.,,,Byzantine Empire,Heraclius Constantine,,,,613-641,Minted in|Associated with,Republic of Armenia|Exacharte of Africa (Division of the Byzantine Empire),"40.25,45|36.85713,10.32992",,,,silver,,,,Weight: 2.170 grammes,,,,Not on display,,,,,,,,Purchased from: Warmington,,,,1838,,,Coins and Medals,,,,,,
257,"18,640,402.16","18,640,402.16",https://www.britishmuseum.org/collection/object/C_1864-0402-16,armenian,armenia,coin,,money,,,,Silver coin.,,,Byzantine Empire,Heraclius Constantine,,,,613-641,Minted in|Associated with,Republic of Armenia|Exacharte of Africa (Division of the Byzantine Empire),"40.25,45|36.85713,10.32992",,,,silver,,,,Weight: 2.190 grammes,,,,Not on display,,,,,,,,Purchased from: George Eastwood,,,,1864,,,Coins and Medals,,,,,,
258,"18,571,226.50","18,571,226.50",https://www.britishmuseum.org/collection/object/C_1857-1226-5,armenian,armenia,coin,,money,,,,Alloy coin.,,,,Levon I,,,,,Minted in,Republic of Armenia,"40.25,45",,,,alloy,,,,Weight: 8.300 grammes,,,,Not on display,,,,,,,,"Purchased from: William Willoughby Cole, 3rd Earl of Enniskillen",,,,1857,,,Coins and Medals,,,,,,
259,"19,910,130.65","19,910,130.65",https://www.britishmuseum.org/collection/object/C_1991-0130-65,armenian,armenia,coin,,money,,,,Copper coin.,,,,Tigranes VI,,,Greek,,Minted in,Republic of Armenia,"40.25,45",,,,copper,,,,Weight: 5.320 grammes,,,,Not on display,,,,,,,,,,,,1991,,,Coins and Medals,,,,,,https://media.britishmuseum.org/media/Repository/Documents/2018_8/31_14/e0f57ca0_8d48_4340_8652_a94d00f48cb0/preview_Seleucid_OFFICIAL_9142.jpg
260,R.14034,R.14034,https://www.britishmuseum.org/collection/object/C_R-14034,armenian,armenia,coin,,money,,denarius,,"Silver coin.; Head of Lucius Verus, bare, right.; Armenia seated left, resting head on right hand and left hand on bow and quiver; before her, shield and standard.",,,Roman Empire,Marcus Aurelius; Lucius Verus,,,Roman Imperial,162-163,Minted in|Associated with,Rome|Imperium Romanum,"41.89193,12.51133|41.8925,12.48499",city,,,silver,,,,Die-axis: 12 o'clock; Weight: 2.83 grammes,Inscription type: inscription Inscription position: obverse Inscription language: Latin Inscription quoted: L VERVS AVG ARMENIACVS; Inscription type: inscription Inscription position: reverse Inscription language: Latin Inscription quoted: TR P III IMP II COS II; Inscription type: inscription Inscription position: reverse exergue Inscription language: Latin Inscription quoted: ARMEN,,"RE4 / Coins of the Roman Empire in the British Museum, vol.IV: Antoninus Pius to Commodus. Introduction, indexes and plates.; RIC3 / The Roman imperial coinage, vol. 3: Antoninus Pius to Commodus (type)",Not on display,,,emperor/empress| allegory/personification,Named in inscription & portrayed: Lucius Verus;  Named in inscription & portrayed: Armenia,,,,,,,,,"Ex-duplicates 1922, not previously registered.",,Coins and Medals,,,RE4 (417) (240),,,https://media.britishmuseum.org/media/Repository/Documents/2014_10/11_15/886a5ef4_1e4b_4cd3_ac23_a3c100fa3e94/preview_00665485_001.jpg
261,"18,680,613.50","18,680,613.50",https://www.britishmuseum.org/collection/object/C_1868-0613-50,armenian,armenia,coin,,money,,,,Silver coin.,,,,Levon II,,,,,Minted in,Republic of Armenia,"40.25,45",,,,silver,,,,Weight: 1.400 grammes,,,,Not on display,,,,,,,,"Purchased from: William Willoughby Cole, 3rd Earl of Enniskillen",,,,1868,,,Coins and Medals,,,,,,
262,"SSB,157.130.2","SSB,157.130.2",https://www.britishmuseum.org/collection/object/C_SSB-157-130-2,armenian,armenia,coin,,money,,,,Alloy coin.,,,,Levon I,,,,,Minted in,Republic of Armenia,"40.25,45",,,,alloy,,,,Weight: 6.760 grammes,,,,Not on display,,,,,,,,"Donated by: Dorothea, Lady Banks",,,Previous owner/ex-collection: Sarah Sophia Banks,1818,,,Coins and Medals,,,,,,
263,"SSB,157.22","SSB,157.22",https://www.britishmuseum.org/collection/object/C_SSB-157-22,armenian,armenia,coin,,money,,,,Silver coin.,,,,Levon IV,,,,,Minted in,Republic of Armenia,"40.25,45",,,,silver,,,,Weight: 2.130 grammes,,,,Not on display,,,,,,,,"Donated by: Dorothea, Lady Banks",,,Previous owner/ex-collection: Sarah Sophia Banks,1818,,,Coins and Medals,,,,,,
264,"18,571,226.60","18,571,226.60",https://www.britishmuseum.org/collection/object/C_1857-1226-6,armenian,armenia,coin,,money,,,,Alloy coin.,,,,Levon I,,,,,Minted in,Republic of Armenia,"40.25,45",,,,alloy,,,,Weight: 5.350 grammes,,,,Not on display,,,,,,,,"Purchased from: William Willoughby Cole, 3rd Earl of Enniskillen",,,,1857,,,Coins and Medals,,,,,,
265,"18,681,232.40","18,681,232.40",https://www.britishmuseum.org/collection/object/C_1868-1232-4,armenian,armenia,coin,,money,,,,Silver coin.,,,Byzantine Empire,Heraclius Constantine,,,,613-641,Minted in|Associated with,Republic of Armenia|Exacharte of Africa (Division of the Byzantine Empire),"40.25,45|36.85713,10.32992",,,,silver,,,,Weight: 2.090 grammes,,,,Not on display,,,,,,,,Purchased from: Kevort Naroutian,,,,1868,,,Coins and Medals,,,,,,
266,"BNK,R.38","BNK,R.38",https://www.britishmuseum.org/collection/object/C_BNK-R-38,armenian,armenia,coin,,money,,aureus,,"Gold coin.; Bust of Lucius Verus, draped, cuirassed, head, bare, right.; Armenia, wearing cloak and breeches to ankles, and pointed cap, seated left, on ground, in attitude of mourning, propping head on right hand, right elbow bent and resting on right knee, left hand on bow and quiver: to right, behind her, trophy.",,,Roman Empire,Lucius Verus,,,Roman Imperial,163,Minted in|Associated with,Rome|Imperium Romanum,"41.89193,12.51133|41.8925,12.48499",city,,,gold,,,,Die-axis: 6 o'clock; Weight: 7.210 grammes,Inscription type: inscription Inscription position: obverse Inscription language: Latin Inscription quoted: L VERVS AVG ARMENIACVS; Inscription type: inscription Inscription position: reverse Inscription language: Latin Inscription quoted: TR P III IMP II COS II; Inscription type: inscription Inscription position: reverse exergue Inscription language: Latin Inscription quoted: ARMEN,,"RE4 / Coins of the Roman Empire in the British Museum, vol.IV: Antoninus Pius to Commodus. Introduction, indexes and plates.; RIC3 / The Roman imperial coinage, vol. 3: Antoninus Pius to Commodus (type)",Not on display,,,emperor/empress| allegory/personification,Named in inscription & portrayed: Lucius Verus;  Representation of: Armenia,Named in inscription: Armenia (archaic),,,Donated by: Bank of England,,,,1877,"The Bank of England loaned their Collection to the British Museum in 1865 wishing to make it accessible to the general public. This remained as a separate Collection until 1877 when the Bank Directors decided it would be more useful to the museum and the public if incorporated into the national collection. The Bank of England collection was therefore presented to the British Museum in 1877, any duplicates being sold to create a coins and medals purchase fund.",,Coins and Medals,,,RE4 (417) (237),,,https://media.britishmuseum.org/media/Repository/Documents/2014_10/11_14/ecd426eb_4a72_47b2_9ec4_a3c100ece32e/preview_00658663_001.jpg
267,"19,800,618.19","19,800,618.19",https://www.britishmuseum.org/collection/object/C_1980-0618-19,armenian,armenia,coin,,money,,,,Alloy coin.,,,Kingdom of Syria,Tigranes,,,Greek,,Minted in|Associated with,Republic of Armenia,"40.25,45",,,,alloy,,,,Weight: 4.070 grammes,,,,Not on display,,,,,,,,,,,,1980,,,Coins and Medals,,,,,,https://media.britishmuseum.org/media/Repository/Documents/2018_8/31_14/59128a93_ef88_4627_bace_a94d00f4c1d5/preview_Seleucid_OFFICIAL_9166.jpg
268,"19,800,618.20","19,800,618.20",https://www.britishmuseum.org/collection/object/C_1980-0618-20,armenian,armenia,coin,,money,,,,Alloy coin.,,,Kingdom of Syria,Tigranes,,,Greek,,Minted in|Associated with,Republic of Armenia,"40.25,45",,,,alloy,,,,Weight: 4.700 grammes,,,,Not on display,,,,,,,,,,,,1980,,,Coins and Medals,,,,,,https://media.britishmuseum.org/media/Repository/Documents/2018_8/31_14/09e587fe_b65f_455c_97a1_a94d00f4c9ee/preview_Seleucid_OFFICIAL_9169.jpg
269,"19,800,618.17","19,800,618.17",https://www.britishmuseum.org/collection/object/C_1980-0618-17,armenian,armenia,coin,,money,,,,Alloy coin.,,,Kingdom of Syria,Tigranes,,,Greek,,Minted in|Associated with,Republic of Armenia,"40.25,45",,,,alloy,,,,Weight: 4.600 grammes,,,,Not on display,,,,,,,,,,,,1980,,,Coins and Medals,,,,,,https://media.britishmuseum.org/media/Repository/Documents/2018_8/31_14/df6ff40e_8aa0_464e_b58a_a94d00f4b967/preview_Seleucid_OFFICIAL_9164.jpg
270,"19,800,618.22","19,800,618.22",https://www.britishmuseum.org/collection/object/C_1980-0618-22,armenian,armenia,coin,,money,,,,Alloy coin.,,,Kingdom of Syria,Tigranes,,,Greek,,Minted in|Associated with,Republic of Armenia,"40.25,45",,,,alloy,,,,Weight: 1.340 grammes,,,,Not on display,,,,,,,,,,,,1980,,,Coins and Medals,,,,,,https://media.britishmuseum.org/media/Repository/Documents/2018_8/31_14/7e8977dc_7022_405e_aded_a94d00f4989b/preview_Seleucid_OFFICIAL_9152.jpg
271,OR.9394,OR.9394,https://www.britishmuseum.org/collection/object/C_OR-9394,armenian,armenia,coin,,money,,,,Silver coin.,,,,Yusuf ibn Abi'l-Saj Diwdad I,,,Sajid dynasty,901-928 (AH 288-315),Minted in,Republic of Armenia,"40.25,45",archaic,,,silver,,,,Diameter: 26 millimetres; Weight: 2.60 grammes,,,,Not on display,,,,,,,,,,,,,,,Coins and Medals,,,,,,
272,"18,530,406.48","18,530,406.48",https://www.britishmuseum.org/collection/object/C_1853-0406-481,armenian,armenia,coin,,money,,,,Alloy coin.,,,,Hethum II,,,,,Minted in,Republic of Armenia,"40.25,45",,,,alloy,,,,Weight: 2.130 grammes,,,,Not on display,,,,,,,,Purchased from: Dr I Pietraszewski; Purchased through: Sotheby's; Purchased through: Harry Osborn Cureton,,,,1853,,,Coins and Medals,,,,,,
273,"19,800,618.15","19,800,618.15",https://www.britishmuseum.org/collection/object/C_1980-0618-15,armenian,armenia,coin,,money,,,,Alloy coin.,,,Kingdom of Syria,Tigranes,,,Greek,,Minted in|Associated with,Republic of Armenia,"40.25,45",,,,alloy,,,,Weight: 1.780 grammes,,,,Not on display,,,,,,,,,,,,1980,,,Coins and Medals,,,,,,https://media.britishmuseum.org/media/Repository/Documents/2018_8/31_14/c789cc16_00f2_4b98_8946_a94d00f490bf/preview_Seleucid_OFFICIAL_9149.jpg
274,"19,800,618.18","19,800,618.18",https://www.britishmuseum.org/collection/object/C_1980-0618-18,armenian,armenia,coin,,money,,,,Alloy coin.,,,Kingdom of Syria,Tigranes,,,Greek,,Minted in|Associated with,Republic of Armenia,"40.25,45",,,,alloy,,,,Weight: 2.430 grammes,,,,Not on display,,,,,,,,,,,,1980,,,Coins and Medals,,,,,,https://media.britishmuseum.org/media/Repository/Documents/2018_8/31_14/7f6ca39a_aa39_4c04_bac0_a94d00f4a95a/preview_Seleucid_OFFICIAL_9158.jpg
275,"18,530,406.48","18,530,406.48",https://www.britishmuseum.org/collection/object/C_1853-0406-479,armenian,armenia,coin,,money,,,,Silver coin.,,,,Levon IV,,,,,Minted in,Republic of Armenia,"40.25,45",,,,silver,,,,Weight: 2.310 grammes,,,,Not on display,,,,,,,,Purchased from: Dr I Pietraszewski; Purchased through: Sotheby's; Purchased through: Harry Osborn Cureton,,,,1853,,,Coins and Medals,,,,,,
276,"19,800,618.21","19,800,618.21",https://www.britishmuseum.org/collection/object/C_1980-0618-21,armenian,armenia,coin,,money,,,,Alloy coin.,,,Kingdom of Syria,Tigranes,,,Greek,,Minted in|Associated with,Republic of Armenia,"40.25,45",,,,alloy,,,,Weight: 2.730 grammes,,,,Not on display,,,,,,,,,,,,1980,,,Coins and Medals,,,,,,https://media.britishmuseum.org/media/Repository/Documents/2018_8/31_14/9573f810_b01e_4b46_a235_a94d00f4b181/preview_Seleucid_OFFICIAL_9161.jpg
277,"19,800,618.16","19,800,618.16",https://www.britishmuseum.org/collection/object/C_1980-0618-16,armenian,armenia,coin,,money,,,,Alloy coin.,,,Kingdom of Syria,Tigranes,,,Greek,,Minted in|Associated with,Republic of Armenia,"40.25,45",,,,alloy,,,,Weight: 2.570 grammes,,,,Not on display,,,,,,,,,,,,1980,,,Coins and Medals,,,,,,https://media.britishmuseum.org/media/Repository/Documents/2018_8/31_14/8b12dca6_1c3a_402b_b08f_a94d00f4a081/preview_Seleucid_OFFICIAL_9155.jpg
278,R.6185,R.6185,https://www.britishmuseum.org/collection/object/C_R-6185,armenian,armenia|armenian,coin,,money,,denarius,,"Silver coin.; Head of Augustus, bare, right.; Armenian tiara on left; quiver and bow-case on right.",,,Roman Empire,Augustus (Octavian),,,Roman Imperial,19BC-18BC,Minted in|Associated with,Bergama|Imperium Romanum,"39.12074,27.18052|41.8925,12.48499",,,,silver,,,,Die-axis: 12 o'clock; Weight: 3.69 grammes,"Inscription type: inscription Inscription position: reverse Inscription language: Latin Inscription quoted: ARMENIA
CAPTA",,"RE1 / Coins of the Roman Empire in the British Museum, vol. 1: Augustus to Vitellius; RIC1 / The Roman Imperial Coinage, vol. 1 (type); RR2 / Coins of the Roman Republic in the British Museum, vol. 2. Coinages of Rome (continued), Roman Campania, Italy, the social war, and the provinces.",Not on display,,,emperor/empress| arms/armour,Portrait of: Augustus (Octavian),Named in inscription: Armenia (archaic),,,"Donated by: George IV, King of the United Kingdom",,,"Previous owner/ex-collection: George III, King of the United Kingdom",1825,,,Coins and Medals,,,RE1 (109) (674); RR2 (549) (303),,,https://media.britishmuseum.org/media/Repository/Documents/2014_10/11_11/9241a32d_9a1c_4ac2_a08c_a3c100b55de8/preview_00633027_001.jpg
279,"18,431,024.37","18,431,024.37",https://www.britishmuseum.org/collection/object/C_1843-1024-366,armenian,armenia,coin,,money,,denarius,,"Silver coin.; Bust of Lucius Verus, bare-headed and cuirassed, right.; Armenia seated left surrounded by arms, resting head on right hand and left hand on bow and quiver; before her, standard.",,,Roman Empire,Marcus Aurelius; Lucius Verus,,,Roman Imperial,162-163,Minted in|Associated with,Rome|Imperium Romanum,"41.89193,12.51133|41.8925,12.48499",city,,,silver,,,,Die-axis: 6 o'clock; Weight: 3.36 grammes,Inscription type: inscription Inscription position: obverse Inscription language: Latin Inscription quoted: L VERVS AVG ARMENIACVS; Inscription type: inscription Inscription position: reverse Inscription language: Latin Inscription quoted: TR P III IMP II COS II,,"RE4 / Coins of the Roman Empire in the British Museum, vol.IV: Antoninus Pius to Commodus. Introduction, indexes and plates.; RIC3 / The Roman imperial coinage, vol. 3: Antoninus Pius to Commodus (type)",Not on display,,,emperor/empress| allegory/personification,Named in inscription & portrayed: Lucius Verus;  Representation of: Armenia,,,,Purchased from: Robert Boyne,,,,1843,,,Coins and Medals,,,RE4 (416) (235),,,https://media.britishmuseum.org/media/Repository/Documents/2014_10/11_15/6ca56db2_2be4_4cc1_8da7_a3c100fa3c17/preview_00665483_001.jpg
